date,price.Vietnam,price.China
1/1/2002,115,143.7977748
2/1/2002,105,129.4568412
3/1/2002,100,127.9080857
4/1/2002,117,149.8740387
5/1/2002,103,131.0986514
6/1/2002,113,145.1877706
7/1/2002,124,159.4617179
8/1/2002,120,151.6506702
9/1/2002,139.7947438,160.0086184
10/1/2002,119.433642,123.1647473
11/1/2002,114.3653364,148.1339992
12/1/2002,111.3665151,165.1767511
1/1/2003,106.480217,154.9738788
2/1/2003,137.350328,139.7736906
3/1/2003,128.7680046,146.4181657
4/1/2003,114.325289,147.2164681
5/1/2003,124.5523141,149.8273321
6/1/2003,127.4662133,160.0470344
7/1/2003,115.8932692,146.484265
8/1/2003,122.6394052,145.5925587
9/1/2003,124.753134,167.7016818
10/1/2003,108.3270974,152.6863486
11/1/2003,103.5029547,149.8760567
12/1/2003,112.3806009,160.8022948
1/1/2004,103.0337344,162.0056993
2/1/2004,128.8764722,153.1128108
3/1/2004,110.9749292,145.6288702
4/1/2004,119.3424259,148.6622316
5/1/2004,130.995403,142.2467632
6/1/2004,139.7733728,143.2050173
7/1/2004,125.1537116,143.5859745
8/1/2004,129.2687465,155.3141282
9/1/2004,150.7207303,164.7059216
10/1/2004,142.3747422,157.226532
11/1/2004,130.6024365,165.4651454
12/1/2004,123.0137427,177.674633
1/1/2005,116.4261758,164.3292639
2/1/2005,116.371148,167.982747
3/1/2005,102.2481765,163.302042
4/1/2005,117.2170706,159.7320228
5/1/2005,121.7507088,151.2382279
6/1/2005,116.2799496,138.7606667
7/1/2005,118.6193241,156.8372013
8/1/2005,127.2455049,140.2500816
9/1/2005,134.0740222,159.2422533
10/1/2005,131.9904321,151.9549589
11/1/2005,116.1462602,159.2390199
12/1/2005,122.5200859,146.5045471
1/1/2006,108.6317353,137.5788595
2/1/2006,106.2108291,138.3036202
3/1/2006,99.33536533,140.5035166
4/1/2006,104.6197736,152.2561166
5/1/2006,102.3177208,156.5837088
6/1/2006,100.1618307,153.1378451
7/1/2006,113.8032382,153.9056709
8/1/2006,111.107404,151.8239612
9/1/2006,113.1301078,163.2668196
10/1/2006,111.5484578,157.0233034
11/1/2006,105.210665,164.5483088
12/1/2006,114.1097639,152.9687184
1/1/2007,105.5853982,143.1292238
2/1/2007,111.6283512,144.5390352
3/1/2007,110.6139147,152.5866563
4/1/2007,105.6229954,160.481969
5/1/2007,111.6357258,156.9139812
6/1/2007,108.3014224,157.0511472
7/1/2007,107.7308979,144.6366503
8/1/2007,116.8112673,151.8929115
9/1/2007,116.4094578,158.6082239
10/1/2007,115.4408804,149.8161855
11/1/2007,112.0711564,151.7725492
12/1/2007,114.9759878,143.88126
1/1/2008,108.6379758,147.3855347
2/1/2008,111.3846167,148.0113691
3/1/2008,112.0698872,151.2388679
4/1/2008,112.7413789,151.5579301
5/1/2008,112.1666667,160.2295885
6/1/2008,111.7104154,140.1100777
7/1/2008,114.4380934,148.2259992
8/1/2008,111.5161504,156.2790093
9/1/2008,111.0572891,149.0049057
10/1/2008,113.6246437,152.5410694
11/1/2008,115.0376043,156.0154938
12/1/2008,114.5276767,144.3939868
1/1/2009,113.2646367,137.0449835
2/1/2009,120.7459779,143.3613935
3/1/2009,105.4419869,135.4803171
4/1/2009,114.2101529,148.681404
5/1/2009,114.1669868,132.790009
6/1/2009,103.0013185,124.9256301
7/1/2009,107.6044061,119.6175294
8/1/2009,113.7366862,123.1456295
9/1/2009,110.6242837,129.6411342
10/1/2009,113.5277268,127.1290314
11/1/2009,111.3731167,130.9252657
12/1/2009,109.8532148,135.4546869
1/1/2010,109.1658516,127.8395594
